A01	Badanie ogolne moczu (profil)
25.59	Zabiegi naprawcze i plastyczne jezyka - inne
25.59	Zabiegi naprawcze i plastyczne jezyka - inne
25.59	Zabiegi naprawcze i plastyczne jezyka - inne
25.91	Podciecie wedzidelka jezyka
25.92	Wyciecie wedzidelka jezyka
25.93	Usuniecie zrostow jezyka
25.94	Naciecia jezyka - inne
25.99	Operacje jezyka - inne
	
26.11	Biopsja iglowa slinianki/ przewodu
26.12	Otwarta biopsja slinianki/ przewodu
26.19	Zabiegi diagnostyczne slinianki - inne
26.21	Marsupializacja torbieli slinianki
26.29	Wyciecie zmiany slinianki - inne
26.31	Czesciowe wyciecie slinianki
26.32	Calkowite usuniecie slinianki kamiczej
26.32	Calkowite usuniecie slinianki kamiczej
26.39	Wyciecie slinianki - inne
26.41	Szycie rany slinianki
26.42	Zamkniecie przetoki slinowej
26.49	Zabiegi naprawcze lub plastyczne slinianek i przewodow slinowych - inne
26.49	Zabiegi naprawcze lub plastyczne slinianek i przewodow slinowych - inne
26.49	Zabiegi naprawcze lub plastyczne slinianek i przewodow slinowych - inne
26.91	Sondowanie przewodu slinowego
26.99	Operacje slinianek - inne
27.01	Drenaz z okolicy twarzy
27.02	Drenaz przestrzeni powieziowej twarzy
27.03	Drenaz w ropowicy dna jamy ustnej
	
27.21	Biopsja kosci podniebienia
27.22	Biopsja podniebienia miekkiego/ jezyczka
27.23	Biopsja wargi
27.24	Biopsja jamy ustnej - inne
27.29	Zabiegi diagnostyczne jamy ustnej - inne
27.31	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek podniebienia twardego
27.31	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek podniebienia twardego
27.31	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek podniebienia twardego
27.31	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek podniebienia twardego
27.32	Rozlegle wyciecie lub zniszczenie zmiany lub tkanki podniebienia twardego
27.41	Wyciecie wedzidelka wargi
27.42	Wyciecie zmiany wargi - inne
27.43	Rozlegle wyciecie zmiany lub tkanki wargi
27.49	Inne wyciecie w zakresie jamy ustnej
27.49	Inne wyciecie w zakresie jamy ustnej
27.49	Inne wyciecie w zakresie jamy ustnej
27.49	Inne wyciecie w zakresie jamy ustnej
27.51	Szycie rany wargi
27.52	Szycie rany jamy ustnej - inne
27.53	Zamkniecie przetoki jamy ustnej
27.54	Zabieg naprawczy rozszczepionej wargi lub podniebienia
27.54	Zabieg naprawczy rozszczepionej wargi lub podniebienia
27.54	Zabieg naprawczy rozszczepionej wargi lub podniebienia
27.54	Zabieg naprawczy rozszczepionej wargi lub podniebienia
27.55	Przeszczep pelnej grubosci skory w zakresie jamy ustnej i warg
27.56	Przeszczep skory w zakresie jamy ustnej - inne
27.57	Plat cylindryczny lub uszypulowany w zakresie jamy ustnej i warg
27.58	Wtorne zabiegi korekcyjne porozszczepowych znieksztalceń wargi i nosa
27.59	Operacje plastyczne jamy ustnej - inne
27.59	Operacje plastyczne jamy ustnej - inne
27.59	Operacje plastyczne jamy ustnej - inne
27.59	Operacje plastyczne jamy ustnej - inne
27.61	Szycie rany podniebienia
27.62	Korekcja rozszczepu podniebienia
27.62	Korekcja rozszczepu podniebienia
27.62	Korekcja rozszczepu podniebienia
27.63	Rewizja po korekcji rozszczepu podniebienia
27.63	Rewizja po korekcji rozszczepu podniebienia
27.69	Operacje plastyczne podniebienia - inne
27.71	Naciecie jezyczka
27.72	Wyciecie jezyczka
27.73	Zabiegi naprawcze jezyczka
27.79	Operacje jezyczka - inne
27.91	Naciecie wedzidelka wargi
27.92	Naciecia w obrebie jamy ustnej - inne
27.93	Plastyka wedzidelka wargi, jezyka, policzka
27.96	Plastyka korekcyjna twarzy po porazeniu n. twarzowego n. skroniowym/ n. zwaczowym
27.97	Plastyka korekcyjna twarzy po porazeniu n. twarzowego paskami powiezi
27.98	Plastyka korekcyjna twarzy po porazeniu n. twarzowego - inne
27.99	Inne operacje jamy ustnej i twarzy
27.99	Inne operacje jamy ustnej i twarzy
28.01	Drenaz ropnia (przez jame ustna) (przez szyje): okologardlowego
28.02	Drenaz ropnia (przez jame ustna) (przez szyje): okolomigdalkowego
28.03	Drenaz ropnia (przez jame ustna) (przez szyje): zagardlowego
28.04	Drenaz ropnia (przez jame ustna) (przez szyje): migdalka
28.05	Naciecie migdalka lub struktur okolomigdalkowych
28.11	Biopsja migdalka podniebiennego i migdalka gardlowego
28.19	Zabiegi diagnostyczne na migdalkach podniebiennych i migdalku gardlowym - inne
	
	
	
	
	
	
28.91	Usuniecie ciala obcego z migdalka podniebiennego i migdalka gardlowego przez naciecie
28.92	Wyciecie zmiany migdalkow podniebiennych i migdalka gardlowego
28.99	Operacje migdalkow podniebiennych i migdalka gardlowego - inne
	
29.11	Wziernikowanie gardla
29.12	Biopsja gardla
29.19	Inne zabiegi diagnostyczne w zakresie gardla
29.19	Inne zabiegi diagnostyczne w zakresie gardla
	
29.31	Przeciecie miesnia pierscienno-gardlowego
29.32	Wyciecie uchylka gardla
29.33	Czesciowa faryngektomia
29.39	Wyciecie lub zniszczenie zmiany lub tkanki gardla - inne
29.41	Korekcja zarosniecia nozdrzy tylnych
29.42	Operacja niewyksztalcenia nozdrzy tylnych
29.43	Operacja plastyczna gardla po usunieciu nowotworu
29.48	Endoskopowa operacja niewyksztalcenia nozdrzy tylnych
29.51	Szycie rany gardla
29.52	Zamkniecie przetoki szczeliny skrzelowej
29.53	Zamkniecie przetoki gardla - inne
29.54	Usuniecie zrostow w gardle
29.59	Operacje naprawcze w gardle - inne
29.91	Rozszerzanie gardla
29.92	Przeciecie nerwu jezykowo-gardlowego
29.99	Operacje w gardle - inne
30.01	Marsupializacja torbieli krtani
30.09	Inne wyciecie lub zniszczenie zmiany lub tkanki krtani
	
30.21	Wyciecie naglosni
30.22	Wyciecie strun glosowych
30.23	Czesciowe wyciecie krtani z rekonstrukcja
30.24	Wyciecie chrzastki krtani
30.29	Czesciowa laryngektomia - inna
30.31	Blokowe wyciecie krtani z tyroidektomia z jednoczasowa tracheostomia
30.32	Wyciecie krtani i gardla
30.39	Calkowite wyciecie krtani - inne
30.41	Radykalne wyciecie krtani z radykalnym preparowaniem szyi z wycieciem tarczycy i z jednoczesna tracheostomia
30.49	Radykalne wyciecie krtani - inne
	
	
31.21	Tracheostomia srodpiersiowa
31.29	Inna stala tracheostomia
	
31.41	Wziernikowanie tchawicy przez tracheostomie
31.42	Laryngoskopia i inne wziernikowanie tchawicy
31.43	Endoskopowa biopsja krtani
31.44	Endoskopowa biopsja tchawicy
31.45	Otwarta biopsja krtani lub tchawicy
31.48	Inne zabiegi diagnostyczne krtani
31.49	Inne zabiegi diagnostyczne tchawicy
	
31.61	Szycie rany krtani
31.62	Zamkniecie przetoki krtani
31.62	Zamkniecie przetoki krtani
31.63	Kontrola laryngostomii
31.64	Zaopatrzenie zlamania krtani
31.65	Rekonstrukcja z plastyka krtani po operacji czesciowej
31.69	Inne zabiegi naprawcze krtani
31.69	Inne zabiegi naprawcze krtani
31.69	Inne zabiegi naprawcze krtani
31.71	Szycie rany tchawicy
31.72	Zamkniecie zewnetrznej przetoki tchawicy
31.73	Zamkniecie innej przetoki tchawicy 
31.73	Zamkniecie innej przetoki tchawicy 
31.74	Rewizja tracheostomii
31.75	Rekonstrukcja tchawicy i wytworzenie sztucznej krtani
31.79	Inne operacje naprawcze i plastyczne tchawicy
31.79	Inne operacje naprawcze i plastyczne tchawicy
31.91	Przeciecie nerwu krtaniowego
31.92	Usuniecie zrostow tchawicy lub krtani
31.93	Wymiana rurki wewnatrzkrtaniowej lub wewnatrztchawiczej
31.94	Wstrzykniecie dotchawicze lekow
31.95	Wytworzenie przetoki tchawiczo-przelykowej
31.96	Podanie lecznicze surfaktantu
31.98	Inne zabiegi krtani
31.98	Inne zabiegi krtani
31.98	Inne zabiegi krtani
31.98	Inne zabiegi krtani
31.99	Inne zabiegi tchawicy
32.01	Endoskopowe wyciecie lub zniszczenie zmiany tkanki oskrzela
32.09	Inne miejscowe wyciecie lub zniszczenie zmiany lub tkanki oskrzela
	
32.21	Plikacja pecherza rozedmowego
32.22	Zabieg chirurgicznego zmniejszenia objetosci pluc
32.28	Endoskopowe wyciecie lub zniszczenie zmiany tkanki pluca
32.29	Miejscowe wyciecie lub zniszczenie zmiany lub tkanki pluca
32.29	Miejscowe wyciecie lub zniszczenie zmiany lub tkanki pluca
	
32.41	Lobektomia z wycieciem segmentu drugiego plata
32.49	Lobektomia - inna
32.52	Wyciecie pluca z rozdzieleniem srodpiersia
32.59	Calkowite usuniecie pluca nieokreslone inaczej
	
	
	
	
33.21	Bronchoskopia przez przetoke
33.22	Bronchoskopia fiberoskopowa
33.23	Inna bronchoskopia
33.23	Inna bronchoskopia
33.23	Inna bronchoskopia
33.24	Endoskopowa biopsja oskrzela
33.25	Otwarta biopsja oskrzela
33.26	Przezskorna iglowa biopsja pluca
33.27	Zamknieta endoskopowa biopsja pluca
33.27	Zamknieta endoskopowa biopsja pluca
33.27	Zamknieta endoskopowa biopsja pluca
33.28	Otwarta biopsja pluca
33.29	Inne zabiegi diagnostyczne na plucach i oskrzelach
33.31	Zniszczenie nerwu przeponowego dla zapadniecia pluca
33.32	Odma oplucnowa dla zapadniecia pluca
33.33	Odma otrzewnowa dla zapadniecia pluca
33.34	Torakoplastyka
33.39	Chirurgiczne zapadniecie pluca - inne
33.41	Szycie rany oskrzela
33.42	Zamkniecie przetoki oskrzelowej
33.42	Zamkniecie przetoki oskrzelowej
33.42	Zamkniecie przetoki oskrzelowej
33.42	Zamkniecie przetoki oskrzelowej
33.43	Zamkniecie rany pluca
33.48	Zabiegi naprawcze i plastyczne oskrzeli - inne
33.49	Zabiegi naprawcze i plastyczne pluca - inne
33.51	Przeszczep jednego pluca
33.52	Przeszczep obu pluc
33.59	Przeszczep pluca - inne
	
33.91	Rozszerzanie oskrzela
33.92	Podwiazanie oskrzela
33.93	Naklucie pluca
33.98	Inne operacje na oskrzelu
33.99	Operacje pluc - inne
34.01	Naciecie sciany klatki piersiowej
34.02	Torakotomia zwiadowcza
34.03	Retorakotomia przez rane operacyjna
34.04	Wprowadzenie drenu do jamy oplucnowej przez miedzyzebrze
34.04	Wprowadzenie drenu do jamy oplucnowej przez miedzyzebrze
34.04	Wprowadzenie drenu do jamy oplucnowej przez miedzyzebrze
34.05	Utworzenie przetoki oplucnowo-otrzewnowej
34.09	Inne naciecia oplucnej
34.09	Inne naciecia oplucnej
34.09	Inne naciecia oplucnej
34.09	Inne naciecia oplucnej
34.09	Inne naciecia oplucnej
	
34.21	Torakoskopia przezoplucnowa
34.22	Wziernikowanie srodpiersia (mediastinoskopia)
34.23	Biopsja sciany klatki piersiowej
34.24	Biopsja oplucnej
34.25	Przezskorna iglowa biopsja srodpiersia
34.26	Otwarta biopsja srodpiersia
34.27	Biopsja przepony
34.28	Zabiegi diagnostyczne sciany klatki piersiowej, oplucnej i przepony - inne
34.29	Zabiegi diagnostyczne srodpiersia - inne
	
	
34.51	Dekortykacja pluca
34.59	Inne wyciecia oplucnej
	
34.71	Szycie rany sciany klatki piersiowej
34.72	Zamkniecie torakostomii
34.73	Zamkniecie przetoki klatki piersiowej - inne
34.73	Zamkniecie przetoki klatki piersiowej - inne
34.73	Zamkniecie przetoki klatki piersiowej - inne
34.74	Naprawa znieksztalcenia klatki piersiowej
34.74	Naprawa znieksztalcenia klatki piersiowej
34.79	Zabiegi naprawcze sciany klatki piersiowej - inne
34.81	Wyciecie zmiany lub tkanki przepony
34.82	Szycie rany przepony
34.83	Zamkniecie przetoki przepony
34.83	Zamkniecie przetoki przepony
34.83	Zamkniecie przetoki przepony
34.84	Inne zabiegi naprawcze przepony
34.85	Wszczepienie rozrusznika przeponowego
34.89	Operacje przepony - inne
34.91	Naklucie klatki piersiowej
34.92	Wstrzykniecie do jamy klatki piersiowej
34.92	Wstrzykniecie do jamy klatki piersiowej
34.92	Wstrzykniecie do jamy klatki piersiowej
34.93	Zabieg naprawczy oplucnej
34.99	Operacje klatki piersiowej - inne
35.01	Zamknieta walwulotomia aortalna
35.02	Zamknieta walwulotomia mitralna
35.03	Zamknieta walwulotomia plucna
35.04	Zamknieta walwulotomia zastawki trojdzielnej
35.09	Zamknieta walwulotomia - inna zastawka
35.11	Otwarta walwuloplastyka aortalna
35.12	Otwarta walwuloplastyka mitralna
35.13	Otwarta plastyka zastawki t.plucnej
35.14	Otwarta plastyka zastawki trojdzielnej
35.19	Otwarta walwuloplastyka - inne
35.21	Wymiana zastawki aortalnej (przeszczep tkankowy)
35.21	Wymiana zastawki aortalnej (przeszczep tkankowy)
35.21	Wymiana zastawki aortalnej (przeszczep tkankowy)
35.22	Wymiana zastawki aortalnej - inne
35.22	Wymiana zastawki aortalnej - inne
35.22	Wymiana zastawki aortalnej - inne
35.23	Wymiana zastawki mitralnej (przeszczep tkankowy)
35.23	Wymiana zastawki mitralnej (przeszczep tkankowy)
35.23	Wymiana zastawki mitralnej (przeszczep tkankowy)
35.24	Wymiana zastawki mitralnej
35.24	Wymiana zastawki mitralnej
35.24	Wymiana zastawki mitralnej
35.25	Wymiana zastawki tetnicy plucnej (przeszczep tkankowy)
35.25	Wymiana zastawki tetnicy plucnej (przeszczep tkankowy)
35.25	Wymiana zastawki tetnicy plucnej (przeszczep tkankowy)
35.26	Wymiana zastawki tetnicy plucnej - inne
35.26	Wymiana zastawki tetnicy plucnej - inne
35.26	Wymiana zastawki tetnicy plucnej - inne
35.27	Wymiana zastawki trojdzielnej (przeszczep tkankowy)
35.27	Wymiana zastawki trojdzielnej (przeszczep tkankowy)
35.27	Wymiana zastawki trojdzielnej (przeszczep tkankowy)
35.28	Wymiana zastawki mitralnej - inne
35.28	Wymiana zastawki mitralnej - inne
35.28	Wymiana zastawki mitralnej - inne
35.29	Wymiana nieokreslonej zastawki serca
35.29	Wymiana nieokreslonej zastawki serca
35.31	Operacje miesni brodawkowatych
35.31	Operacje miesni brodawkowatych
35.31	Operacje miesni brodawkowatych
35.32	Operacje nitek sciegnistych
35.32	Operacje nitek sciegnistych
35.33	Annuloplastyka
35.33	Annuloplastyka
35.34	Infundibulektomia
35.34	Infundibulektomia
35.35	Operacje beleczek miesniowych serca
35.35	Operacje beleczek miesniowych serca
35.35	Operacje beleczek miesniowych serca
35.39	Operacje innych struktur zwiazanych z zastawkami serca - inne
35.41	Powiekszenie istniejacego ubytku w przegrodzie miedzyprzedsionkowej
35.41	Powiekszenie istniejacego ubytku w przegrodzie miedzyprzedsionkowej
35.42	Wytworzenie ubytku przegrody serca
35.51	Zamkniecie ubytku miedzyprzedsionkowego latka z tworzywa sztucznego - z uzyciem krazenia pozaustrojowego
35.51	Zamkniecie ubytku miedzyprzedsionkowego latka z tworzywa sztucznego - z uzyciem krazenia pozaustrojowego
35.51	Zamkniecie ubytku miedzyprzedsionkowego latka z tworzywa sztucznego - z uzyciem krazenia pozaustrojowego
35.51	Zamkniecie ubytku miedzyprzedsionkowego latka z tworzywa sztucznego - z uzyciem krazenia pozaustrojowego
35.52	Zamkniecie ubytku miedzyprzedsionkowego materialem sztucznym, technika zamknieta
35.53	Zamkniecie ubytku miedzykomorowego materialem sztucznym
35.53	Zamkniecie ubytku miedzykomorowego materialem sztucznym
35.54	Zamkniecie kanalu przedsionkowo komorowego (latka sztuczna)
35.54	Zamkniecie kanalu przedsionkowo komorowego (latka sztuczna)
35.54	Zamkniecie kanalu przedsionkowo komorowego (latka sztuczna)
35.59	Zamkniecie ubytku przegrody serca/material sztuczny - inne
35.60	Zamkniecie ubytku przegrody serca/latka tkankowa
35.61	Zamkniecie ubytku miedzyprzedsionkowego latka tkankowa
35.61	Zamkniecie ubytku miedzyprzedsionkowego latka tkankowa
35.61	Zamkniecie ubytku miedzyprzedsionkowego latka tkankowa
35.61	Zamkniecie ubytku miedzyprzedsionkowego latka tkankowa
35.62	Zamkniecie ubytku miedzykomorowego latka tkankowa
35.62	Zamkniecie ubytku miedzykomorowego latka tkankowa
35.63	Zamkniecie kanalu przedsionkowo-komorowego/latka tkankowa
35.63	Zamkniecie kanalu przedsionkowo-komorowego/latka tkankowa
35.63	Zamkniecie kanalu przedsionkowo-komorowego/latka tkankowa
35.71	Zamkniecie ubytku w przegrodzie miedzyprzedsionkowej - inne
35.71	Zamkniecie ubytku w przegrodzie miedzyprzedsionkowej - inne
35.71	Zamkniecie ubytku w przegrodzie miedzyprzedsionkowej - inne
35.72	Zamkniecie ubytku w przegrodzie miedzykomorowej - inne
35.72	Zamkniecie ubytku w przegrodzie miedzykomorowej - inne
35.72	Zamkniecie ubytku w przegrodzie miedzykomorowej - inne
35.72	Zamkniecie ubytku w przegrodzie miedzykomorowej - inne
35.73	Zamkniecie kanalu przedsionkowo-komorowego - inne
35.73	Zamkniecie kanalu przedsionkowo-komorowego - inne
35.73	Zamkniecie kanalu przedsionkowo-komorowego - inne
35.79	Zamkniecie ubytku przegrody serca - inne
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.81	Korekcja calkowita zespolu Fallota
35.82	Calkowita korekcja calkowitego nieprawidlowego splywu zyl plucnych
35.82	Calkowita korekcja calkowitego nieprawidlowego splywu zyl plucnych
35.82	Calkowita korekcja calkowitego nieprawidlowego splywu zyl plucnych
35.82	Calkowita korekcja calkowitego nieprawidlowego splywu zyl plucnych
35.82	Calkowita korekcja calkowitego nieprawidlowego splywu zyl plucnych
35.83	Korekcja calkowita wspolnego pnia tetniczego
35.83	Korekcja calkowita wspolnego pnia tetniczego
35.83	Korekcja calkowita wspolnego pnia tetniczego
35.84	Korekcja calkowita przelozenia wielkich pni tetniczych - inne
35.84	Korekcja calkowita przelozenia wielkich pni tetniczych - inne
35.91	Wewnatrzprzedsionkowe przelozenie splywu zylnego
35.91	Wewnatrzprzedsionkowe przelozenie splywu zylnego
35.91	Wewnatrzprzedsionkowe przelozenie splywu zylnego
35.92	Wytworzenie polaczenia prawa komora - tetnica plucna
35.93	Wytworzenie polaczenia lewa komora - aorta
35.93	Wytworzenie polaczenia lewa komora - aorta
35.94	Wytworzenie polaczenia przedsionek - tetnica plucna
35.95	Rewizja po zabiegach korekcyjnych serca
35.95	Rewizja po zabiegach korekcyjnych serca
35.95	Rewizja po zabiegach korekcyjnych serca
35.96	Przezskorna walwuloplastyka
35.96	Przezskorna walwuloplastyka
35.97	Zamkniecie przewodu tetniczego Botalla
35.97	Zamkniecie przewodu tetniczego Botalla
35.97	Zamkniecie przewodu tetniczego Botalla
35.98	Inne operacje przegrod serca
35.99	Inne operacje zastawek serca
36.03	Otwarta koronaroplastyka
36.03	Otwarta koronaroplastyka
36.03	Otwarta koronaroplastyka
36.04	Wlew czynnika przeciwzakrzepowego do tetnicy wieńcowej
36.06	Wprowadzenie stentu(ow) nie uwalniajacego lekow antyproliferacyjnych, do naczynia wieńcowego
36.06	Wprowadzenie stentu(ow) nie uwalniajacego lekow antyproliferacyjnych, do naczynia wieńcowego
36.06	Wprowadzenie stentu(ow) nie uwalniajacego lekow antyproliferacyjnych, do naczynia wieńcowego
36.06	Wprowadzenie stentu(ow) nie uwalniajacego lekow antyproliferacyjnych, do naczynia wieńcowego
36.06	Wprowadzenie stentu(ow) nie uwalniajacego lekow antyproliferacyjnych, do naczynia wieńcowego
36.07	Wprowadzenie stentu(ow) uwalniajacego leki do tetnicy wieńcowej
36.07	Wprowadzenie stentu(ow) uwalniajacego leki do tetnicy wieńcowej
36.07	Wprowadzenie stentu(ow) uwalniajacego leki do tetnicy wieńcowej
36.07	Wprowadzenie stentu(ow) uwalniajacego leki do tetnicy wieńcowej
36.07	Wprowadzenie stentu(ow) uwalniajacego leki do tetnicy wieńcowej
36.09	Inne usuniecie niedroznosci tetnicy wieńcowej
36.10	Inny pomost aortalno-wieńcowy
36.10	Inny pomost aortalno-wieńcowy
36.11	Pomost aortalno-wieńcowy (1 tetnica wieńcowa)
36.12	Pomosty aortalno-wieńcowe (2 tetnice wieńcowe)
36.13	Pomosty aortalno-wieńcowe (3 tetnice wieńcowe)
36.14	Pomosty aortalno-wieńcowe (4 lub wiecej tetnic wieńcowych)
36.15	Pomost tetnica piersiowa wewnetrzna tetnica wieńcowa (pojedyncze naczynie)
36.16	Pomosty tetnica piersiowa wewnetrzna - tetnice wieńcowe (dwa naczynia)
36.17	Pomost brzuszno-wieńcowy
36.19	Pomosty dla rewaskularyzacji serca - inne
36.21	Wszczepienie odgalezień aorty [odgalezień aorty wstepujacej] do miesnia sercowego
36.22	Wszczepienie naczyń krwionosnych do miesnia sercowego
36.23	"Wszczepienie wewnetrznej tetnicy piersiowej do: 
miesnia sercowego
komory
sciany komory"
36.23	"Wszczepienie wewnetrznej tetnicy piersiowej do: 
miesnia sercowego
komory
sciany komory"
